neighborhood,geoType,indicator,value,topic,displayTopic,type,format,order,topicOrder
East Shore,1_neighborhood,Child low-income rate,0.157,income_kids,Income by age: children,map,.0%,5,32
Edgewood,1_neighborhood,Child low-income rate,0.481,income_kids,Income by age: children,map,.0%,5,32
Fair Haven,1_neighborhood,Child low-income rate,0.729,income_kids,Income by age: children,map,.0%,5,32
Fair Haven Heights,1_neighborhood,Child low-income rate,0.662,income_kids,Income by age: children,map,.0%,5,32
Hill,1_neighborhood,Child low-income rate,0.869,income_kids,Income by age: children,map,.0%,5,32
Newhallville,1_neighborhood,Child low-income rate,0.779,income_kids,Income by age: children,map,.0%,5,32
Prospect Hill,1_neighborhood,Child low-income rate,0.491,income_kids,Income by age: children,map,.0%,5,32
Quinnipiac Meadows,1_neighborhood,Child low-income rate,0.516,income_kids,Income by age: children,map,.0%,5,32
West River,1_neighborhood,Child low-income rate,0.728,income_kids,Income by age: children,map,.0%,5,32
West Rock,1_neighborhood,Child low-income rate,0.783,income_kids,Income by age: children,map,.0%,5,32
Westville,1_neighborhood,Child low-income rate,0.065,income_kids,Income by age: children,map,.0%,5,32
Wooster Square/Mill River,1_neighborhood,Child low-income rate,0.762,income_kids,Income by age: children,map,.0%,5,32
Connecticut,4_state,"Ages 65+, poverty status known",533413,income_seniors,Income by age: seniors,table,",",1,33
Greater New Haven,3_region,"Ages 65+, poverty status known",69920,income_seniors,Income by age: seniors,table,",",1,33
New Haven,2_city,"Ages 65+, poverty status known",13149,income_seniors,Income by age: seniors,table,",",1,33
Amity,1_neighborhood,"Ages 65+, poverty status known",479,income_seniors,Income by age: seniors,table,",",1,33
Annex,1_neighborhood,"Ages 65+, poverty status known",692,income_seniors,Income by age: seniors,table,",",1,33
Beaver Hills,1_neighborhood,"Ages 65+, poverty status known",538,income_seniors,Income by age: seniors,table,",",1,33
Dixwell,1_neighborhood,"Ages 65+, poverty status known",585,income_seniors,Income by age: seniors,table,",",1,33
Downtown,1_neighborhood,"Ages 65+, poverty status known",542,income_seniors,Income by age: seniors,table,",",1,33
Dwight,1_neighborhood,"Ages 65+, poverty status known",329,income_seniors,Income by age: seniors,table,",",1,33
East Rock,1_neighborhood,"Ages 65+, poverty status known",787,income_seniors,Income by age: seniors,table,",",1,33
East Shore,1_neighborhood,"Ages 65+, poverty status known",862,income_seniors,Income by age: seniors,table,",",1,33
Edgewood,1_neighborhood,"Ages 65+, poverty status known",474,income_seniors,Income by age: seniors,table,",",1,33
Fair Haven,1_neighborhood,"Ages 65+, poverty status known",1065,income_seniors,Income by age: seniors,table,",",1,33
Fair Haven Heights,1_neighborhood,"Ages 65+, poverty status known",1550,income_seniors,Income by age: seniors,table,",",1,33
Hill,1_neighborhood,"Ages 65+, poverty status known",1371,income_seniors,Income by age: seniors,table,",",1,33
Newhallville,1_neighborhood,"Ages 65+, poverty status known",850,income_seniors,Income by age: seniors,table,",",1,33
Prospect Hill,1_neighborhood,"Ages 65+, poverty status known",381,income_seniors,Income by age: seniors,table,",",1,33
Quinnipiac Meadows,1_neighborhood,"Ages 65+, poverty status known",598,income_seniors,Income by age: seniors,table,",",1,33
West River,1_neighborhood,"Ages 65+, poverty status known",317,income_seniors,Income by age: seniors,table,",",1,33
West Rock,1_neighborhood,"Ages 65+, poverty status known",419,income_seniors,Income by age: seniors,table,",",1,33
Westville,1_neighborhood,"Ages 65+, poverty status known",1025,income_seniors,Income by age: seniors,table,",",1,33
Wooster Square/Mill River,1_neighborhood,"Ages 65+, poverty status known",286,income_seniors,Income by age: seniors,table,",",1,33
Connecticut,4_state,Seniors in poverty,38003,income_seniors,Income by age: seniors,table,",",2,34
Greater New Haven,3_region,Seniors in poverty,5561,income_seniors,Income by age: seniors,table,",",2,34
New Haven,2_city,Seniors in poverty,2034,income_seniors,Income by age: seniors,table,",",2,34
Amity,1_neighborhood,Seniors in poverty,112,income_seniors,Income by age: seniors,table,",",2,34
Annex,1_neighborhood,Seniors in poverty,171,income_seniors,Income by age: seniors,table,",",2,34
Beaver Hills,1_neighborhood,Seniors in poverty,56,income_seniors,Income by age: seniors,table,",",2,34
Dixwell,1_neighborhood,Seniors in poverty,83,income_seniors,Income by age: seniors,table,",",2,34
Downtown,1_neighborhood,Seniors in poverty,52,income_seniors,Income by age: seniors,table,",",2,34
Dwight,1_neighborhood,Seniors in poverty,64,income_seniors,Income by age: seniors,table,",",2,34
East Rock,1_neighborhood,Seniors in poverty,58,income_seniors,Income by age: seniors,table,",",2,34
East Shore,1_neighborhood,Seniors in poverty,0,income_seniors,Income by age: seniors,table,",",2,34
Edgewood,1_neighborhood,Seniors in poverty,40,income_seniors,Income by age: seniors,table,",",2,34
Fair Haven,1_neighborhood,Seniors in poverty,373,income_seniors,Income by age: seniors,table,",",2,34
Fair Haven Heights,1_neighborhood,Seniors in poverty,143,income_seniors,Income by age: seniors,table,",",2,34
Hill,1_neighborhood,Seniors in poverty,375,income_seniors,Income by age: seniors,table,",",2,34
Newhallville,1_neighborhood,Seniors in poverty,187,income_seniors,Income by age: seniors,table,",",2,34
Prospect Hill,1_neighborhood,Seniors in poverty,27,income_seniors,Income by age: seniors,table,",",2,34
Quinnipiac Meadows,1_neighborhood,Seniors in poverty,80,income_seniors,Income by age: seniors,table,",",2,34
West River,1_neighborhood,Seniors in poverty,64,income_seniors,Income by age: seniors,table,",",2,34
West Rock,1_neighborhood,Seniors in poverty,68,income_seniors,Income by age: seniors,table,",",2,34
Westville,1_neighborhood,Seniors in poverty,39,income_seniors,Income by age: seniors,table,",",2,34
Wooster Square/Mill River,1_neighborhood,Seniors in poverty,42,income_seniors,Income by age: seniors,table,",",2,34
Connecticut,4_state,Senior poverty rate,0.071,income_seniors,Income by age: seniors,map,.0%,3,35
Greater New Haven,3_region,Senior poverty rate,0.08,income_seniors,Income by age: seniors,map,.0%,3,35
New Haven,2_city,Senior poverty rate,0.155,income_seniors,Income by age: seniors,map,.0%,3,35
Amity,1_neighborhood,Senior poverty rate,0.234,income_seniors,Income by age: seniors,map,.0%,3,35
Annex,1_neighborhood,Senior poverty rate,0.247,income_seniors,Income by age: seniors,map,.0%,3,35
Beaver Hills,1_neighborhood,Senior poverty rate,0.104,income_seniors,Income by age: seniors,map,.0%,3,35
Dixwell,1_neighborhood,Senior poverty rate,0.142,income_seniors,Income by age: seniors,map,.0%,3,35
Downtown,1_neighborhood,Senior poverty rate,0.096,income_seniors,Income by age: seniors,map,.0%,3,35
Dwight,1_neighborhood,Senior poverty rate,0.195,income_seniors,Income by age: seniors,map,.0%,3,35
East Rock,1_neighborhood,Senior poverty rate,0.074,income_seniors,Income by age: seniors,map,.0%,3,35
East Shore,1_neighborhood,Senior poverty rate,0,income_seniors,Income by age: seniors,map,.0%,3,35
Edgewood,1_neighborhood,Senior poverty rate,0.084,income_seniors,Income by age: seniors,map,.0%,3,35
Fair Haven,1_neighborhood,Senior poverty rate,0.351,income_seniors,Income by age: seniors,map,.0%,3,35
Fair Haven Heights,1_neighborhood,Senior poverty rate,0.092,income_seniors,Income by age: seniors,map,.0%,3,35
Hill,1_neighborhood,Senior poverty rate,0.274,income_seniors,Income by age: seniors,map,.0%,3,35
Newhallville,1_neighborhood,Senior poverty rate,0.22,income_seniors,Income by age: seniors,map,.0%,3,35
Prospect Hill,1_neighborhood,Senior poverty rate,0.071,income_seniors,Income by age: seniors,map,.0%,3,35
Quinnipiac Meadows,1_neighborhood,Senior poverty rate,0.134,income_seniors,Income by age: seniors,map,.0%,3,35
West River,1_neighborhood,Senior poverty rate,0.202,income_seniors,Income by age: seniors,map,.0%,3,35
West Rock,1_neighborhood,Senior poverty rate,0.162,income_seniors,Income by age: seniors,map,.0%,3,35
Westville,1_neighborhood,Senior poverty rate,0.038,income_seniors,Income by age: seniors,map,.0%,3,35
Wooster Square/Mill River,1_neighborhood,Senior poverty rate,0.147,income_seniors,Income by age: seniors,map,.0%,3,35
Connecticut,4_state,Low-income seniors,122224,income_seniors,Income by age: seniors,table,",",4,36
Greater New Haven,3_region,Low-income seniors,17972,income_seniors,Income by age: seniors,table,",",4,36
New Haven,2_city,Low-income seniors,5453,income_seniors,Income by age: seniors,table,",",4,36
Amity,1_neighborhood,Low-income seniors,215,income_seniors,Income by age: seniors,table,",",4,36
Annex,1_neighborhood,Low-income seniors,303,income_seniors,Income by age: seniors,table,",",4,36
Beaver Hills,1_neighborhood,Low-income seniors,118,income_seniors,Income by age: seniors,table,",",4,36
Dixwell,1_neighborhood,Low-income seniors,333,income_seniors,Income by age: seniors,table,",",4,36
Downtown,1_neighborhood,Low-income seniors,210,income_seniors,Income by age: seniors,table,",",4,36
Dwight,1_neighborhood,Low-income seniors,159,income_seniors,Income by age: seniors,table,",",4,36
East Rock,1_neighborhood,Low-income seniors,178,income_seniors,Income by age: seniors,table,",",4,36
East Shore,1_neighborhood,Low-income seniors,121,income_seniors,Income by age: seniors,table,",",4,36
Edgewood,1_neighborhood,Low-income seniors,249,income_seniors,Income by age: seniors,table,",",4,36
Fair Haven,1_neighborhood,Low-income seniors,750,income_seniors,Income by age: seniors,table,",",4,36
Fair Haven Heights,1_neighborhood,Low-income seniors,784,income_seniors,Income by age: seniors,table,",",4,36
Hill,1_neighborhood,Low-income seniors,785,income_seniors,Income by age: seniors,table,",",4,36
Newhallville,1_neighborhood,Low-income seniors,448,income_seniors,Income by age: seniors,table,",",4,36
Prospect Hill,1_neighborhood,Low-income seniors,44,income_seniors,Income by age: seniors,table,",",4,36
Quinnipiac Meadows,1_neighborhood,Low-income seniors,210,income_seniors,Income by age: seniors,table,",",4,36
West River,1_neighborhood,Low-income seniors,83,income_seniors,Income by age: seniors,table,",",4,36
West Rock,1_neighborhood,Low-income seniors,203,income_seniors,Income by age: seniors,table,",",4,36
Westville,1_neighborhood,Low-income seniors,172,income_seniors,Income by age: seniors,table,",",4,36
Wooster Square/Mill River,1_neighborhood,Low-income seniors,88,income_seniors,Income by age: seniors,table,",",4,36
Connecticut,4_state,Senior low-income rate,0.229,income_seniors,Income by age: seniors,map,.0%,5,37
Greater New Haven,3_region,Senior low-income rate,0.257,income_seniors,Income by age: seniors,map,.0%,5,37
New Haven,2_city,Senior low-income rate,0.415,income_seniors,Income by age: seniors,map,.0%,5,37
Amity,1_neighborhood,Senior low-income rate,0.449,income_seniors,Income by age: seniors,map,.0%,5,37
Annex,1_neighborhood,Senior low-income rate,0.438,income_seniors,Income by age: seniors,map,.0%,5,37
Beaver Hills,1_neighborhood,Senior low-income rate,0.219,income_seniors,Income by age: seniors,map,.0%,5,37
Dixwell,1_neighborhood,Senior low-income rate,0.569,income_seniors,Income by age: seniors,map,.0%,5,37
Downtown,1_neighborhood,Senior low-income rate,0.388,income_seniors,Income by age: seniors,map,.0%,5,37
Dwight,1_neighborhood,Senior low-income rate,0.483,income_seniors,Income by age: seniors,map,.0%,5,37
East Rock,1_neighborhood,Senior low-income rate,0.226,income_seniors,Income by age: seniors,map,.0%,5,37
East Shore,1_neighborhood,Senior low-income rate,0.14,income_seniors,Income by age: seniors,map,.0%,5,37
Edgewood,1_neighborhood,Senior low-income rate,0.525,income_seniors,Income by age: seniors,map,.0%,5,37
Fair Haven,1_neighborhood,Senior low-income rate,0.704,income_seniors,Income by age: seniors,map,.0%,5,37
Fair Haven Heights,1_neighborhood,Senior low-income rate,0.506,income_seniors,Income by age: seniors,map,.0%,5,37
Hill,1_neighborhood,Senior low-income rate,0.573,income_seniors,Income by age: seniors,map,.0%,5,37
Newhallville,1_neighborhood,Senior low-income rate,0.527,income_seniors,Income by age: seniors,map,.0%,5,37
Prospect Hill,1_neighborhood,Senior low-income rate,0.115,income_seniors,Income by age: seniors,map,.0%,5,37
Quinnipiac Meadows,1_neighborhood,Senior low-income rate,0.351,income_seniors,Income by age: seniors,map,.0%,5,37
West River,1_neighborhood,Senior low-income rate,0.262,income_seniors,Income by age: seniors,map,.0%,5,37
West Rock,1_neighborhood,Senior low-income rate,0.484,income_seniors,Income by age: seniors,map,.0%,5,37
Westville,1_neighborhood,Senior low-income rate,0.168,income_seniors,Income by age: seniors,map,.0%,5,37
Wooster Square/Mill River,1_neighborhood,Senior low-income rate,0.308,income_seniors,Income by age: seniors,map,.0%,5,37
